Nom,Latitude,Longitude,nb_passages,marker_size
16e Avenue / Bélanger,45.56071317115146,-73.59063628650485,96662.0,12.838440658290086
A25/Gouin,45.63159,-73.61337,84574.0,11.858209847036328
Bennett / Ontario,45.55508439136479,-73.53881875080648,159860.0,17.963244332149685
Berri1,45.516216,-73.56297,1171520.0,100.0
Boyer / Everett,45.54346079168719,-73.61668336519156,256341.0,25.787007477465174
Boyer / Rosemont,45.53365,-73.59459,101592.0,13.238220431576073
Brébeuf / Rachel,45.527496,-73.57432,134766.0,15.928340958754438
Camillien-Houde 1,45.50861581661045,-73.59116351638738,58450.0,9.739782504780115
Christophe-Colomb/Louvain,45.55773,-73.64662,2781.0,5.225514715924611
Côte Sainte-Catherine / Stuart,45.5149,-73.607506,541150.0,48.88252014476919
Eco-Display - Maisonneuve and Greene,45.486899135943446,-73.58942408458202,463812.0,42.61108645178913
Eco-Display - Métro Laurier,45.5277722028042,-73.5888323717438,839671.0,73.08995578393882
Eco-Display Parc Stanley,45.55759296561201,-73.67322198070093,320864.0,31.019257033597377
Gouin / Lajeunesse,45.557660786928885,-73.67342519533321,673.0,5.054574399071292
Maisonneuve / Marcil,45.470493,-73.609566,298138.0,29.17637769735045
Maisonneuve / Peel,45.500507,-73.57497,0.0,5.0
Maisonneuve / Plessis,45.52133353005951,-73.55549917938745,566403.0,50.93031702403715
Maisonneuve / Vendôme,45.47370620324923,-73.60486181895988,35605.0,7.887253311936629
Maurice-Duplessis,45.65913034697104,-73.54248335311773,872.0,5.070711554220159
McGill / William,45.49983514414373,-73.55604979610504,0.0,5.0
Notre-Dame,45.530216,-73.544426,318016.0,30.78830920513521
Notre-Dame Est / Bellerive,45.5919291608105,-73.51000706512123,116436.0,14.441938677956843
Parc / Duluth,45.51385,-73.58151,601105.0,53.7443449535646
Pierre-Dupuy,45.50127,-73.54441,182996.0,19.839371073477192
Piste Des Carrières,45.53416012524185,-73.59146414618658,464048.0,42.63022398251844
Pont Le Gardeur,45.70089562398661,-73.4832523129735,73274.0,10.941878926522808
Querbes / St-Roch,45.53016420946323,-73.62942808518474,44.0,5.003568014203769
REV 4 Peel/Notre Dame,45.4953861315691,-73.5629635238697,377424.0,35.60577711007922
REV Bellechasse / 13ème,45.55546272716089,-73.58104526996614,144455.0,16.714033904670856
REV Bellechasse/Av Christophe Colomb,45.536,-73.5988,963225.0,83.10910185058727
REV Berri/Sauvé dir sud,45.55089408852223,-73.65644216602959,183229.0,19.85826533051079
REV Lajeunesse/Sauvé dir nord,45.551458406258135,-73.65503430293758,248545.0,25.154820233542747
REV St Denis/Castelnau NB,45.53905,-73.61687,417383.0,38.84610164572521
REV St Denis/Castelnau SB,45.53905,-73.61686,493740.0,45.03798484020759
REV St-Denis/Carrières dir nord,45.53052686785812,-73.59711706638338,771272.0,67.54339661294728
REV St-Denis/Carrières dir sud,45.53027132795617,-73.59696149826051,871831.0,75.69784980196667
REV St-Denis/Duluth dir nord,45.52085687975788,-73.57602953910829,667230.0,59.106502663206776
REV St-Denis/Rachel dir sud,45.52162362428968,-73.57789635658266,693630.0,61.247311185468455
Rachel / HôteldeVille,45.51962,-73.58025,717943.0,63.21888230674679
Rachel / Papineau,45.53044782912952,-73.56954036492331,954741.0,82.421123839115
Rachel / Pie IX,45.553646534540135,-73.5557600288962,114456.0,14.281378038787217
Rachel 3 (Angus),45.543276810912914,-73.56190718304119,675269.0,59.75839507648183
Remembrance,45.50160317511961,-73.59793406758837,173148.0,19.04078462168806
René-Lévesque / Wolfe,45.516968,-73.55404,46895.0,8.802773320131111
Saint-Antoine,45.50625,-73.557785,118646.0,14.621150300464354
Saint-Laurent/Bellechasse,45.5278195427535,-73.6031121673584,1124901.0,96.21960785987436
Saint-Urbain,45.5193951037592,-73.5886631073951,271459.0,27.012944721387598
Sainte-Croix / Du Collège Sainte-Croix,45.511742476289925,-73.67253108202766,48717.0,8.950521544659928
Souligny / Saint-Émile,45.595537645041134,-73.52043545138532,118589.0,14.616528100245834
University / Milton,45.506134,-73.57587,682607.0,60.3534425361923
Valois / la Fontaine,45.54684413712084,-73.54238787658998,66989.0,10.4322205340071
Viger / Saint-Urbain,45.50600884799096,-73.55960264511492,218894.0,22.75038411636165
Villeray,45.5470480641669,-73.6183869838714,277887.0,27.534199160065555
