NOM_OFFICIEL,length_km
Ahuntsic-Cartierville,69.3
Anjou,21.2
Baie-D'Urfé,4.5
Beaconsfield,28.2
Côte-Saint-Luc,15.0
Côte-des-Neiges–Notre-Dame-de-Grâce,45.6
Dollard-des-Ormeaux,21.0
Dorval,15.3
Kirkland,13.700000000000001
L'Île-Bizard–Sainte-Geneviève,36.800000000000004
LaSalle,29.400000000000002
Lachine,24.1
Le Plateau-Mont-Royal,56.0
Le Sud-Ouest,46.0
Mercier–Hochelaga-Maisonneuve,84.3
Mont-Royal,5.800000000000001
Montréal-Est,3.9
Montréal-Nord,26.7
Montréal-Ouest,1.1
Outremont,7.300000000000001
Pierrefonds-Roxboro,66.60000000000001
Pointe-Claire,21.7
Rivière-des-Prairies–Pointe-aux-Trembles,99.3
Rosemont–La Petite-Patrie,88.6
Saint-Laurent,78.8
Saint-Léonard,13.3
Sainte-Anne-de-Bellevue,11.5
Senneville,9.0
Verdun,45.800000000000004
Ville-Marie,58.7
Villeray–Saint-Michel–Parc-Extension,53.0
Westmount,5.4
